Geração db1.txt130
ParticleList :
1 7 13 fitness : 1.2756197
5 6 15 fitness : 1.2665708
8 9 15 fitness : 1.0322444
4 7 16 fitness : 0.8624987
17 9 3 fitness : 0.39492846
11 17 2 fitness : 0.1976956
5 17 12 fitness : 0.19749223
5 16 13 fitness : 0.07382417
17 9 14 fitness : 0.03245635
1 14 1 fitness : 0.02540833
4 11 10 fitness : 0.019374127
16 9 12 fitness : 0.017388731
9 1 5 fitness : 0.017335145
8 11 7 fitness : 0.016628107
5 7 3 fitness : 0.013423443
4 9 9 fitness : 0.009359618
14 14 11 fitness : 0.0073849233
1 4 5 fitness : 0.004368851
13 9 5 fitness : 0.0035450587
10 9 15 fitness : 0.0033181342
6 17 14 fitness : 0.0031601053
8 7 4 fitness : 0.003120365
4 12 5 fitness : 0.0031115287
5 17 2 fitness : 0.0026321711
1 14 4 fitness : 0.0025696638
4 6 11 fitness : 0.0025389066
5 9 1 fitness : 0.0024694188
7 17 13 fitness : 0.002466723
10 9 13 fitness : 0.0022390184
4 7 6 fitness : 0.0021241908
8 10 14 fitness : 0.0021096154
3 15 4 fitness : 0.002042996
1 5 10 fitness : 0.0019151157
1 8 17 fitness : 0.0018294837
4 3 3 fitness : 0.0018158006
13 10 12 fitness : 0.0017052125
8 8 8 fitness : 0.0016745713
5 4 8 fitness : 0.0011009162
3 6 12 fitness : 0.0010411215
17 7 10 fitness : 0.0010196423
4 9 12 fitness : 0.0010129352
5 3 12 fitness : 9.984558E-4
13 4 16 fitness : 9.68252E-4
8 6 10 fitness : 9.246542E-4
5 14 3 fitness : 9.1697567E-4
6 12 5 fitness : 8.907279E-4
4 14 10 fitness : 8.173824E-4
7 10 3 fitness : 6.585493E-4
8 10 8 fitness : 6.4553926E-4
1 3 13 fitness : 5.2371115E-4
16 1 2 fitness : 5.148218E-4
14 1 6 fitness : 5.05864E-4
11 6 8 fitness : 5.0126435E-4
3 11 11 fitness : 4.7186654E-4
3 8 7 fitness : 4.6441914E-4
14 17 6 fitness : 4.0321352E-4
15 17 13 fitness : 3.9681146E-4
7 14 17 fitness : 3.9562111E-4
9 15 3 fitness : 3.6520266E-4
10 7 3 fitness : 3.610639E-4
9 7 10 fitness : 3.5523894E-4
8 3 7 fitness : 3.4742826E-4
8 12 12 fitness : 3.2493638E-4
10 12 16 fitness : 3.1138648E-4
14 5 16 fitness : 3.08918E-4
13 16 2 fitness : 2.957716E-4
8 16 3 fitness : 2.9556596E-4
16 5 6 fitness : 2.9473766E-4
1 15 5 fitness : 2.9413743E-4
11 1 13 fitness : 2.689657E-4
8 5 1 fitness : 2.623205E-4
3 17 7 fitness : 2.6132824E-4
6 10 7 fitness : 2.533658E-4
7 9 10 fitness : 2.3020963E-4
12 7 13 fitness : 2.2571038E-4
1 8 8 fitness : 1.6115095E-4
14 12 11 fitness : 1.5244857E-4
5 13 1 fitness : 1.5014177E-4
11 4 6 fitness : 1.5014177E-4
11 8 13 fitness : 1.4637013E-4
14 10 13 fitness : 1.458067E-4
6 13 12 fitness : 1.3227342E-4
5 17 7 fitness : 1.2053942E-4
11 13 16 fitness : 1.143514E-4
17 5 6 fitness : 1.1396787E-4
3 16 2 fitness : 1.0000813E-4
2 10 6 fitness : 9.852248E-5
11 5 5 fitness : 8.247121E-5
12 16 7 fitness : 8.065E-5
6 16 8 fitness : 6.936367E-5
1 5 6 fitness : 6.2952044E-5
11 1 6 fitness : -6.0
14 10 6 fitness : -6.0
9 7 3 fitness : -6.0
10 13 2 fitness : -6.0
13 12 7 fitness : -6.0
1 13 10 fitness : -6.0
15 15 1 fitness : -6.0
6 16 5 fitness : -6.0
12 5 15 fitness : -6.0

